"participant_code","mode_survey","assign_date","assign_week_day","actual_date","actual_week_day","actual_hour","age_or_range","age_or_mid_range","gender","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","num_usual_contacts","include_all_contacts","num_left_out","num_diary_contact","age_weights","houseSize","distance","weights"
38905939,1,145,3,173.745173611096,0,17,1,"41-65",0,1,1,"postsec",1,"<10k",1,12,1,1,7,997,36,0,14.5348837209302,">=5",0.581152687469882,1
39045439,0,91,5,91.3887037036475,0,9,1,"0-10",0,999,999,"primary",2,"20-39k",997,6,1,1,5,997,10,1,23.5294117647059,">=5",0.502720677342996,1
39048243,1,81,2,91.7158449074486,0,17,1,"41-65",1,999,5,"secondary",999,"20-39k",2,14,1,1,3,1,9001,17,18.9035916824197,"3",0.639617273123221,1
39273981,1,18,2,20.5399189814925,0,12,1,"41-65",1,1,5,"secondary",999,"20-39k",1,17,1,1,2,1,9001,8,14.5348837209302,"2",0.617984225772152,1
39360542,1,145,3,173.437870370341,0,10,1,"41-65",1,1,1,"postsec",1,"10-19k",1,13,1,1,3,1,9001,6,11.3636363636364,"3",0.482050456268401,1
39674114,0,23,7,25.0357523148414,0,0,2,"41-65",0,1,1,"secondary",2,">=40k",1,18,1,1,3,1,9001,6,11.3636363636364,"3",0.434628009840604,1
39854810,1,25,2,36.7566203703173,1,18,1,"41-65",0,999,999,"primary",999,"<10k",2,2,1,1,2,1,9001,4,14.5348837209302,"2",0.831280363145097,1
40023972,1,32,2,83.4435532407369,0,10,1,">65",1,2,6,"postsec",2,"20-39k",2,7,1,1,2,1,9001,4,7.96178343949044,"2",0.95598858696992,1
40026972,0,395,1,396.624409722164,0,14,2,"11-19",1,1,4,"secondary",999,"unknown",1,13,1,1,4,997,5,3,20.0400801603206,"4",0.120373161292531,1
40228225,1,352,7,369.73693287035,0,17,1,"11-19",0,2,4,"postsec",1,"<10k",2,6,1,1,4,1,9001,4,16.4473684210526,"4",0.15392326923725,1
40232281,0,366,7,366.910717592575,1,21,2,"41-65",0,999,999,"secondary",1,"<10k",2,16,1,1,4,1,9001,2,18.9035916824197,"4",0.656816094825747,1
40254546,1,145,3,173.472106481437,0,11,1,"41-65",1,999,6,"postsec",1,"10-19k",1,13,1,1,4,1,9001,7,14.5348837209302,"4",0.505218139760463,1
40272308,0,366,7,363.866574074025,0,20,2,"21-40",1,1,5,"secondary",2,"20-39k",1,2,1,1,4,1,9001,2,12.3762376237624,"4",0.347311004316069,1
40283356,1,333,2,355.520219907397,0,12,1,"41-65",1,999,6,"secondary",2,"<10k",1,17,1,1,3,999,9001,5,18.9035916824197,"3",0.755412688314284,1
40338184,1,336,5,348.718125000014,0,17,1,"41-65",1,999,6,"secondary",2,">=40k",1,4,1,1,3,997,6,4,18.9035916824197,"3",0.443894430220046,1
40817966,0,357,5,366.536481481511,1,12,2,"41-65",0,999,999,"unknown",2,"10-19k",1,999,1,1,3,997,4,2,10.6837606837607,"3",0.851061451175852,1
40905140,1,373,7,391.492546296329,0,11,1,"11-19",1,1,4,"primary",2,">=40k",1,2,1,1,5,1,9001,4,20.0400801603206,">=5",0.340172265940661,1
