participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence,num_usual_contacts,total_hrs_participant,physical_hrs_participant
51017991,1,336,5,354.443738425965,2,10,2,58,2,999,5,1,2,998,999,14,1,1,2,12.1,9.23333333333333
51105699,2,27,4,29.773460648139,6,18,2,33,2,1,1,3,1,4,1,2,1,1,1,4.45,4.24166666666667
51267470,1,213,1,260.49797453708,6,11,1,48,2,1,1,1,1,3,2,18,1,1,3,12,0
51273253,2,389,2,391.544803240686,4,13,1,11,1,1,4,1,2,10,1,8,1,1,4,0.775,0.158333333333333
51480006,2,60,2,60.7896064814413,2,18,2,23,2,1,1,3,1,4,1,14,1,1,3,53.2333333333333,0
51570411,2,84,5,83.4532060185447,4,10,2,28,2,1,1,3,1,5,1,16,1,1,0,28.3083333333333,6.5
51580764,2,311,1,308.326006944408,5,7,2,33,1,1,1,3,2,7,1,999,1,1,2,5,5
51621637,2,374,1,375.681006944389,2,16,1,36,1,1,1,3,2,11,1,18,1,1,3,13.9666666666667,8.11666666666667
51675219,2,351,6,348.882754629594,3,21,1,27,2,999,999,3,999,999,2,17,1,1,2,5.04166666666667,5
51688983,1,213,1,260.453634259291,6,10,1,42,2,999,5,1,2,2,2,10,1,1,4,20.575,0.0416666666666667
51758126,1,379,6,400.67094907409,6,16,1,4,1,999,4,1,2,5,1,2,1,1,2,21.3583333333333,18.6166666666667
51804787,2,340,2,341.434236111119,3,10,2,28,2,1,1,3,1,5,1,18,1,1,2,18.8,6.58333333333333
51816850,2,423,1,426.830266203731,4,19,2,13,1,1,4,2,2,10,1,2,1,1,3,0.158333333333333,0
51971408,2,21,5,19.6325347222155,3,15,2,33,2,999,999,3,999,999,997,6,1,1,2,13.1583333333333,8
51996739,2,352,7,350.625451388885,5,15,1,35,2,1,1,3,1,4,1,14,1,1,4,2.5,0
52252915,2,43,6,44.664155092556,7,15,1,62,1,1,6,2,1,9,1,14,1,1,2,8.11666666666667,0
52465278,2,339,1,336.798912037048,5,19,2,13,2,999,999,2,999,999,1,7,1,1,3,12,8
52514473,2,32,2,33.6534259258769,3,15,1,6,2,1,4,1,2,7,1,15,1,1,3,14.5,14.5
52526919,1,379,6,400.475624999963,6,11,1,9,2,999,4,997,2,5,1,6,1,1,3,23.275,6.875
52538370,2,334,3,332.953263888834,1,22,1,32,1,1,1,2,1,6,1,7,1,1,3,5.7,5.61666666666667
52644438,2,168,5,166.891493055504,3,21,1,51,1,1,1,2,1,7,1,6,1,1,2,4,0
52807309,2,339,1,336.889664351824,5,21,2,43,2,1,1,3,1,6,1,18,1,1,0,24,12
52880532,1,336,5,348.495983796311,3,11,1,53,1,1,1,2,2,8,2,6,1,1,3,11.5,0
53035837,2,27,4,28.8524768518982,5,20,1,20,1,1,4,2,1,1,1,2,1,1,3,30.6,6.23333333333333
53130951,2,331,7,331.907083333354,7,21,2,28,1,1,1,3,999,999,1,2,1,1,1,29,0
53193716,1,352,7,369.72074074077,3,17,2,18,1,1,1,3,1,4,1,15,1,1,3,26.5416666666667,20.9833333333333
53326127,1,336,5,355.641458333354,3,15,1,60,1,1,6,2,999,999,1,17,1,1,2,15.125,15
53329656,2,328,4,328.586759259226,4,14,1,23,2,2,4,3,2,5,1,15,1,1,3,3.90833333333333,3.275
53475379,1,99,6,106.5259606482,6,12,1,23,2,1,1,3,1,3,2,9,1,1,4,1.55,0
53478679,1,320,3,351.606261574081,6,14,1,70,1,999,6,2,1,1,2,6,1,1,0,5.21666666666667,4.15833333333333
53506126,1,333,2,407.627789351856,6,15,1,49,2,2,1,2,2,8,2,18,1,1,4,6.5,4
53631408,2,27,4,28.5013078703778,5,12,1,29,2,1,1,3,1,6,1,2,1,1,4,0.616666666666667,0.616666666666667
53689754,2,339,1,340.753715277766,2,18,2,23,2,1,1,3,1,4,2,6,1,1,3,4.61666666666667,0
53802698,2,339,1,339.915844907402,1,21,1,29,2,1,1,3,1,4,1,14,1,1,3,10.8166666666667,10.5
53811246,1,102,2,119.668310185196,5,16,1,75,2,999,6,2,999,999,2,8,1,1,2,28.8583333333333,19.7
53894905,2,334,3,335.505578703713,4,12,2,43,2,999,999,3,999,999,1,18,1,1,2,20.975,4
53976593,2,86,7,98.4013657406904,5,9,1,30,2,1,1,3,1,6,1,7,1,1,2,3.06666666666667,0.775
54066249,1,352,7,369.555069444468,3,13,2,33,1,1,1,3,1,5,1,18,1,1,3,12.2083333333333,2.5
54148231,1,333,2,354.634224537062,2,15,1,53,2,999,999,2,1,1,1,6,1,1,0,0.375,0
54164281,2,423,1,422.871643518563,7,20,2,43,1,999,999,2,999,999,2,8,1,1,3,6.5,4
54263537,2,85,6,85.0080902777845,6,0,2,38,2,1,1,2,1,4,1,2,1,1,2,2.5,2.5
54279943,1,392,5,400.708692129585,6,17,1,1,2,999,999,999,2,3,1,2,1,1,3,7.1,7.1
54352448,1,352,7,369.638958333293,3,15,1,4,1,1,4,1,2,3,1,6,1,1,3,8.125,8.04166666666667
54378468,2,91,5,90.5752430555876,4,13,1,22,2,1,1,3,999,999,1,8,1,1,2,5,5
54470030,1,102,2,125.533564814832,4,12,1,66,2,999,5,2,2,6,2,14,1,1,3,14.5,2.5
54550414,2,10,1,11.0013310185168,2,0,2,53,2,1,6,2,2,9,1,2,1,1,1,5.61666666666667,0.616666666666667
54643422,2,334,3,335.737372685224,4,17,1,4,2,1,4,1,999,999,1,10,1,1,3,19.5416666666667,17.0416666666667
54775752,2,353,1,353.976875000051,1,23,2,23,1,1,1,3,2,5,2,14,1,1,5,9.04166666666667,9.04166666666667
54787848,2,370,4,374.967638888862,1,23,2,3,1,999,999,999,999,999,1,2,1,1,3,4,4
54970399,2,23,7,23.4410532407928,7,10,2,48,2,1,1,3,1,6,1,17,1,1,2,2.5,2.5
55157168,1,352,7,369.481967592612,3,11,1,37,2,2,1,3,1,1,1,14,1,1,3,14.4833333333333,0
55212238,2,366,7,367.003946759272,1,0,1,35,1,1,3,3,1,9,2,9,1,1,3,11.2166666666667,8.71666666666667
55235710,1,373,7,390.714953703689,3,17,1,14,2,999,4,2,2,3,1,2,1,1,4,53.5,6.5
55257573,1,13,4,15.5012731481111,6,12,1,57,1,1,1,2,1,5,1,6,1,1,2,1.26666666666667,0.158333333333333
55327162,1,102,2,106.500081018545,6,12,2,38,2,999,5,2,2,2,2,5,1,2,2,9.60833333333333,4
55349938,2,85,6,85.9986458333442,6,23,2,28,2,999,999,3,999,999,1,11,1,1,5,16.275,0
55377154,1,397,3,424.448611111147,2,10,1,10,2,999,999,999,2,999,1,18,1,1,2,5.75,1.39166666666667
55603182,1,334,3,348.635497685173,3,15,2,43,1,1,1,3,1,5,1,11,1,1,3,46.5,11.5
55607039,1,352,7,369.728009259212,3,17,2,28,2,1,1,3,1,8,1,1,1,1,3,3.34166666666667,0.816666666666667
55646398,1,352,7,370.491666666698,4,11,1,5,1,999,4,1,999,999,1,17,1,1,3,15.0833333333333,6.46666666666667
55646506,1,320,3,351.72184027778,6,17,1,66,2,999,6,2,2,2,1,1,1,1,1,4.15833333333333,4
55697547,2,328,4,341.676770833321,3,16,2,18,2,1,1,3,999,999,1,13,1,1,2,6.5,4
55774986,1,34,4,83.4672800926492,4,11,1,65,2,999,6,1,2,6,1,13,1,1,1,4.04166666666667,4
55787046,2,213,1,213.881990740774,1,21,1,16,1,1,4,2,999,999,1,5,1,1,3,1.23333333333333,1.23333333333333
55816958,1,213,1,260.463599537034,6,11,1,65,2,1,3,2,1,5,997,13,1,1,1,5,0
55860631,1,373,7,391.498449074104,4,11,2,33,1,1,1,3,999,999,1,6,1,1,1,2.46666666666667,0.616666666666667
56046687,1,349,4,351.749537036987,6,17,1,3,1,999,4,999,999,999,1,2,1,1,3,16.8916666666667,11.275
56107256,2,314,4,315.014085648116,5,0,1,22,1,1,4,3,2,8,1,2,1,1,3,6.39166666666667,1.39166666666667
56189352,2,28,5,30.0146874999627,7,0,1,38,1,1,1,3,1,8,1,18,1,1,3,14.625,8
56216631,2,375,2,373.002141203731,7,0,2,33,1,2,1,3,999,999,1,1,1,1,2,3.73333333333333,1.23333333333333
56268855,1,198,7,259.621608796297,5,14,2,58,1,1,1,999,1,6,1,10,1,1,3,4.08333333333333,0
56299382,1,34,4,82.756678240723,3,18,1,66,2,999,5,1,999,999,2,17,1,1,10,12.0416666666667,0
56303770,1,145,3,253.539409722202,6,12,1,19,2,2,4,3,1,1,1,17,1,1,3,5.78333333333333,5
56317255,1,320,3,351.716469907435,6,17,1,62,1,2,3,2,1,3,2,17,1,1,3,12,12
56633857,1,99,6,116.485694444389,2,11,2,13,1,999,4,1,999,999,1,11,1,1,5,0.208333333333333,0.0833333333333333
56656760,2,357,5,358.500509259291,6,12,2,53,1,999,999,2,2,4,1,2,1,1,2,8.35,6.5
56725452,2,204,6,204.564733796287,6,13,2,23,2,999,999,3,2,7,1,14,1,1,2,8.79166666666667,4
57065386,2,31,1,34.493229166721,4,11,2,48,2,2,3,3,1,3,1,6,1,1,2,9,6.5
57128384,1,352,7,417.444074074039,2,10,1,34,2,1,1,3,1,5,1,2,1,1,1,3.73333333333333,2.5
57197274,2,350,5,353.981458333321,1,23,2,58,1,999,999,3,1,8,1,14,1,1,1,4.16666666666667,0
57300101,1,145,3,173.495289351908,3,11,1,3,1,999,997,1,2,5,1,7,1,1,3,10.4833333333333,9.61666666666667
