participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence
28350064,2,377,4,379.868726851884,6,20,2,8,2,999,999,999,999,999,1,17,1,1
28422326,2,375,2,378.914155092556,5,21,2,33,2,1,1,2,1,4,1,17,1,1
28574438,1,320,3,355.626747685135,3,15,1,45,1,1,1,2,1,3,1,2,1,1
28653088,2,238,5,239.652974536992,6,15,1,21,2,2,4,3,1,1,1,8,1,1
28718993,2,22,6,25.6360416666139,2,15,2,3,2,999,999,1,1,1,1,5,1,1
28989980,2,366,7,363.596319444478,4,14,1,0,1,999,999,1,2,7,1,18,1,1
29061212,2,84,5,85.3983564814553,6,9,2,18,2,1,1,3,2,5,1,15,1,1
29157551,2,340,2,341.777615740779,3,18,2,28,1,1,1,3,999,999,1,10,1,1
29184906,2,209,4,209.991215277812,4,23,2,28,2,999,999,3,2,4,1,5,1,1
29192718,1,333,2,354.513506944408,2,12,1,68,1,999,6,2,2,5,1,2,1,1
29277603,1,71,6,106.737118055578,6,17,1,67,1,999,6,2,999,999,1,5,1,1
29331062,1,334,3,368.490034722257,2,11,2,48,2,1,5,1,2,7,1,17,1,1
29399075,2,395,1,397.532650462934,3,12,2,3,2,1,4,1,2,11,1,18,1,1
29411242,2,346,1,343.960775462911,5,23,2,33,2,1,5,2,999,999,1,6,1,1
29415238,2,21,5,21.882303240709,5,21,1,2,1,999,999,1,2,11,1,8,1,1
29485037,2,339,1,338.663148148102,7,15,1,18,1,999,999,2,999,999,2,17,1,1
29632406,2,357,5,372.523530092556,6,12,2,3,1,999,2,1,999,6,1,6,1,1
29664099,2,141,6,141.719571759226,6,17,1,46,1,1,1,3,1,9,1,2,1,1
29712625,1,99,6,259.600219907355,5,14,1,75,1,2,6,3,1,1,1,8,1,1
29894332,2,340,2,340.719108796329,2,17,1,18,1,999,999,2,2,7,1,14,1,1
29903147,1,379,6,400.419201388839,6,10,1,38,1,999,999,3,1,1,1,7,1,1
30014205,2,339,1,336.997152777738,5,23,2,38,1,1,1,3,999,999,1,2,1,1
30022876,2,10,1,26.6860879629385,3,16,2,23,2,1,1,3,1,4,1,14,998,1
30040475,2,238,5,238.962418981479,5,23,2,18,1,999,999,3,999,999,1,1,1,1
30122128,2,351,6,352.97237268521,7,23,2,8,1,999,999,1,999,999,1,13,1,1
30242809,2,84,5,84.9346527777379,5,22,2,13,2,1,4,3,999,999,1,9,1,1
30325393,1,29,6,82.7898958333535,3,18,2,58,2,999,6,2,2,8,1,10,1,1
30348793,2,331,7,329.730462962994,5,17,2,53,2,1,1,2,1,9,997,2,1,1
30521751,2,340,2,340.888865740737,2,21,1,56,1,1,1,2,1,3,1,11,1,1
30549698,1,317,7,351.62134259264,6,14,1,61,1,1,6,2,1,1,997,14,1,1
30864972,1,379,6,400.42876157409,6,10,1,15,1,999,4,998,2,5,1,7,1,1
30880905,2,22,6,21.8812384259654,5,21,2,13,2,1,4,2,999,999,1,7,1,1
30881166,2,375,2,375.826192129636,2,19,1,0,2,999,999,1,1,1,1,13,1,1
30922684,2,344,6,345.949432870373,7,22,2,28,1,1,1,3,999,999,2,5,1,1
30993804,2,346,1,355.986493055592,3,23,1,39,1,1,1,3,2,7,1,13,1,1
31080111,2,16,7,18.0080787036568,2,0,2,33,2,2,3,3,2,8,1,2,1,1
31112109,2,366,7,367.488715277752,1,11,2,13,2,1,4,1,999,999,1,9,1,1
31244464,1,320,3,337.745868055616,6,17,1,69,2,1,5,2,2,998,2,11,1,1
31334995,2,370,4,370.689791666693,4,16,2,33,2,1,1,3,1,4,1,14,1,1
31377488,2,350,5,352.385694444412,7,9,1,53,1,1,1,3,1,3,2,18,1,1
31489875,1,234,1,265.483912036987,4,11,2,53,2,999,5,2,2,5,1,11,1,1
31623010,1,373,7,427.54105324077,5,12,1,11,2,1,4,1,2,5,1,13,1,1
