participant_code,include_all_contacts,diary_contact_idx,contact_age_or_range,contact_age_or_mid_range,contact_gender,contact_member,skin_contact,non_physical_contact,total_time,house_contact,work_contact,school_contact,transport_contact,other_contact,how_often,record_time,record_date
83473702,1,3,2,28,2,3,1,2,5,9001,9001,3,9001,9001,1,736696.551388889,351
83473702,1,4,2,3,999,3,1,2,5,1,9001,9001,9001,9001,1,736696.547222222,351
83473702,1,5,2,53,2,1,1,2,5,1,9001,9001,4,997,1,736696.547222222,351
83473702,1,6,2,28,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.547916667,351
83473702,1,7,2,8,1,997,1,2,3,9001,9001,9001,9001,997,1,736696.550694444,351
83473702,1,8,2,38,2,997,9001,2,2,9001,9001,9001,9001,997,1,736696.55,351
83473702,1,9,2,28,2,3,9001,2,2,9001,9001,3,9001,9001,1,736696.551388889,351
46233386,999,1,1,67,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.720138889,370
46233386,999,2,1,67,1,1,1,2,5,1,9001,9001,9001,9001,1,736696.720138889,370
46233386,999,3,1,42,2,1,1,2,5,1,9001,9001,9001,9001,1,736696.720833333,370
46233386,999,4,1,6,1,1,1,2,5,1,9001,9001,9001,9001,1,736696.720833333,370
46233386,999,5,2,999,2,3,1,2,4,9001,9001,3,9001,9001,1,736696.720833333,370
46233386,999,6,2,999,999,3,1,2,4,9001,9001,3,9001,9001,1,736696.721527778,370
46233386,999,7,1,40,2,1,1,2,5,9001,9001,9001,9001,9001,2,736696.722222222,370
46233386,999,8,1,40,1,997,1,2,4,9001,9001,9001,9001,997,3,736696.722222222,370
46233386,999,9,1,15,1,1,1,2,4,1,9001,9001,9001,9001,2,736696.722916667,370
46233386,999,10,1,15,1,1,1,2,4,1,9001,9001,9001,9001,2,736696.722916667,370
42818681,997,1,1,28,2,1,1,9001,5,1,9001,9001,9001,9001,1,736696.667361111,370
42818681,997,2,1,79,1,1,9001,2,5,1,9001,9001,9001,9001,1,736696.668055556,370
