participant_code,residence_type,num_usual_contacts,usual_contact_idx,usual_age_or_range,usual_age_or_mid_range,usual_gender,usual_relation
71412551,1,3,3,1,47,999,1
36215849,1,2,1,1,25,2,3
36215849,1,2,2,1,20,1,3
44867745,1,3,1,2,33,2,1
44867745,1,3,2,2,13,1,3
44867745,1,3,3,2,8,2,3
28096802,1,1,1,2,43,2,2
53475379,1,4,1,1,48,1,2
53475379,1,4,2,1,48,2,2
53475379,1,4,3,1,18,2,4
53475379,1,4,4,1,12,1,4
38409554,1,1,1,2,34.5,2,3
85601735,1,2,1,1,65,1,4
85601735,1,2,2,1,34,999,997
94649167,1,3,1,2,38,1,1
94649167,1,3,2,1,4,1,3
94649167,1,3,3,1,1,2,3
25281029,1,1,1,1,63,1,1
14703807,1,3,1,2,58,1,2
14703807,1,3,2,2,58,2,2
14703807,1,3,3,2,23,1,999
59741633,1,3,1,2,48,1,2
59741633,1,3,2,2,48,2,2
59741633,1,3,3,2,13,2,4
66044096,1,1,1,1,83,1,5
42793015,1,5,1,1,30,2,1
42793015,1,5,2,1,62,2,2
42793015,1,5,3,1,3,1,3
42793015,1,5,4,1,0,999,3
42793015,1,5,5,1,30,1,4
17429347,1,3,1,1,2,2,3
17429347,1,3,2,1,31,2,1
17429347,1,3,3,1,2,2,999
12464494,1,2,1,2,58,1,2
12464494,1,2,2,2,58,2,2
50738539,1,3,1,1,63,1,1
50738539,1,3,2,1,30,2,3
50738539,1,3,3,1,28,1,3
52644438,1,2,1,1,42,2,1
52644438,1,2,2,2,38,2,997
27041623,1,1,1,1,79,999,1
98546700,1,1,1,2,53,2,4
59460120,1,2,1,1,53,2,2
59460120,1,2,2,1,54,1,2
62754155,1,3,1,2,28,1,1
62754155,1,3,2,2,8,1,3
62754155,1,3,3,2,3,2,3
68140325,1,2,1,2,53,2,2
68140325,1,2,2,2,28,2,4
55327162,1,2,1,1,9,1,3
55327162,1,2,2,1,75,2,997
50883182,999,2,1,1,74,2,1
50883182,999,2,2,1,42,2,999
73855016,1,2,1,2,13,2,3
73855016,1,2,2,2,48,2,1
46978852,1,5,1,1,28,2,1
46978852,1,5,2,1,2,1,3
46978852,1,5,3,1,0,2,3
46978852,1,5,4,1,82,1,2
46978852,1,5,5,1,70,2,2
35715759,1,2,1,1,5,2,3
35715759,1,2,2,1,5,2,3
42706748,1,3,1,1,56,1,1
42706748,1,3,2,1,24,1,3
42706748,1,3,3,1,20,1,3
13884579,1,3,1,1,75,2,1
13884579,1,3,2,1,12,2,6
13884579,1,3,3,1,50,2,3
53811246,1,2,1,1,85,1,1
53811246,1,2,2,2,32.5,2,997
61536246,1,2,1,1,80,1,2
61536246,1,2,2,1,70,2,2
77319220,1,3,1,2,48,1,2
77319220,1,3,2,2,48,2,2
77319220,1,3,3,2,18,1,4
73959330,1,1,1,2,48,2,1
39045439,1,4,1,1,34,2,2
39045439,1,4,2,1,33,1,2
39045439,1,4,3,1,36,2,997
39045439,1,4,4,1,5,2,4
54470030,1,3,1,1,32,2,3
54470030,1,3,2,1,22,2,3
54470030,1,3,3,1,22,2,3
87001881,1,3,1,1,66,1,1
87001881,1,3,2,1,36,1,3
87001881,1,3,3,1,38,2,997
