participant_code,residence_type,num_usual_contacts
92517207,1,2
33056691,1,4
65046116,1,6
88995932,1,4
31112109,1,4
13775858,1,3
26343036,1,4
90607637,1,4
44623572,1,1
64605820,1,3
23499032,1,4
23117844,1,3
38500397,1,0
70586548,1,1
99127219,1,4
40272308,1,3
58573950,1,0
11776171,1,3
32488774,1,3
33820112,1,2
54787848,1,3
40232281,1,3
15264221,1,6
28989980,1,2
75374365,1,1
79524265,1,3
55212238,1,3
55235710,1,4
59235352,1,3
55860631,1,1
33440850,1,3
45740273,1,3
31623010,1,5
90532298,1,2
32342024,1,4
38819323,1,6
32179276,1,2
75378155,1,2
88128462,1,3
87185536,1,2
22411792,1,3
96317123,1,5
51621637,1,3
95096829,1,3
96471446,1,3
19555774,1,2
67484458,1,3
94349633,1,3
48885926,1,3
46077422,1,3
40940069,1,2
50139229,1,1
46360894,1,2
81832556,1,2
47545727,1,1
88157888,1,4
85756290,1,4
73051890,1,5
40905140,1,4
34773346,1,2
34794436,1,2
17824455,1,3
60588645,1,3
31334995,1,2
66166471,1,5
39341446,1,3
79490344,1,4
12818986,1,2
90218127,1,1
12808049,1,4
87746186,1,2
90496219,1,4
50322326,1,3
57896969,1,5
28422326,1,2
22886585,1,3
75583332,1,2
23631969,1,4
17175713,1,4
85945794,1,3
92990664,1,4
56216631,1,2
49226652,1,2
71239692,1,3
77647346,1,2
30881166,1,2
47790815,1,4
17604612,1,3
37420699,1,4
10105130,1,3
89070958,1,1
52526919,1,3
41893194,1,3
29903147,999,0
72754022,1,4
73474238,1,1
35257030,1,2
76973593,1,3
98316982,1,3
57487336,1,4
77069618,1,2
46221582,1,2
75747938,1,2
34353107,1,3
77725637,1,7
28350064,999,3
24370596,1,3
11658139,1,4
83732108,1,4
78027519,1,3
63745362,1,4
25074113,1,4
51758126,1,2
30864972,1,1
47837972,1,3
24620397,1,1
73647579,1,3
69137285,1,4
72028257,1,5
54279943,1,3
21476608,1,3
35145881,1,4
87190434,1,3
66912749,1,2
17984165,1,1
46957455,1,0
64422886,1,2
70740449,1,3
92079058,1,5
80649207,1,2
89781724,1,3
87169149,1,4
47447435,1,3
81947762,1,3
90670934,1,3
95067460,1,3
34506763,1,4
64643736,1,2
33731847,1,4
95329905,1,2
23440991,1,3
59720104,1,3
90667744,1,3
51273253,1,4
92903080,1,5
86572350,1,3
35472160,1,4
41655665,1,3
20931383,1,3
99507885,1,5
89542296,1,6
62568804,1,3
13376654,1,3
35951820,1,4
32119336,1,2
68933514,1,5
29399075,1,2
38120101,1,3
11170632,1,6
55377154,1,2
46025078,1,2
40026972,1,3
10605717,1,5
76349818,1,3
57646962,1,6
51816850,1,3
54164281,1,3
75567684,1,3
97137749,1,3
