participant_code,mode_survey,time_first_access,time_last_update,duration_survey_hrs
15172510,2,736050.884756944,736050.888449074,0.0886111110448837
18343372,1,736224.534930556,736224.549780093,0.356388886459172
21070328,2,736050.552118056,736050.571956019,0.476111113093793
55349938,2,736050.990439815,736050.998645833,0.196944443508983
25593841,2,736053.008912037,736053.01474537,0.140000000596046
45580481,2,736049.766006944,736049.773773148,0.186388889327645
54263537,2,736050.00087963,736050.008090278,0.173055555671453
80052567,2,736055.745509259,736055.754328704,0.211666666902602
85581222,2,736051.322673611,736051.329664352,0.167777778580785
81491276,1,736077.469930556,736077.473171296,0.0777777777984738
78394560,1,736070.741469907,736070.743587963,0.0508333314210176
61487886,1,736070.749606482,736070.752789352,0.0763888880610466
29712625,1,736224.59599537,736224.600219907,0.10138888657093
56633857,1,736081.481342593,736081.485694444,0.10444444231689
65894683,2,736070.394606482,736070.398564815,0.0949999988079071
92900359,2,736051.786412037,736051.794884259,0.203333334065974
92644180,2,736057.542141204,736057.571527778,0.705277780070901
53976593,2,736063.38755787,736063.401365741,0.331388887949288
47327306,2,736051.627106481,736051.634791667,0.184444444254041
23007476,2,736049.69369213,736049.711527778,0.428055558353662
50513512,2,736050.546574074,736130.018553241,1907.32749999873
71412551,2,736049.910231482,736049.91625,0.144444443285465
36215849,1,736131.493935185,736131.624618056,3.13638888951391
44867745,2,736050.792615741,736050.799699074,0.169999999925494
28096802,2,736070.780740741,736070.792719907,0.287499999627471
53475379,1,736071.522986111,736071.525960648,0.0713888900354505
38409554,1,736077.474861111,736077.479050926,0.100555554963648
85601735,1,736070.782523148,736070.786944444,0.10611111111939
94649167,2,736079.87724537,736079.900069444,0.547777776606381
25281029,1,736075.512847222,736075.515972222,0.0749999983236194
14703807,2,736055.965868056,736081.7853125,619.666666665114
59741633,2,736056.01568287,736056.874548611,20.6127777770162
66044096,1,736070.759560185,736070.763865741,0.103333334438503
42793015,1,736070.78806713,736070.804756944,0.400555553846061
17429347,2,736056.772199074,736056.781134259,0.214444446377456
12464494,2,736055.488287037,736055.51255787,0.582500000484288
50738539,1,736083.435740741,736083.439259259,0.0844444446265697
52644438,2,736055.965428241,736131.891493056,1822.22555555496
27041623,1,736070.775,736070.781840278,0.164166667498648
12751877,1,736083.440451389,736083.444351852,0.0936111090704799
48264817,1,736070.753935185,736081.500231482,257.911111112684
98546700,2,736060.416898148,736078.758634259,440.201666666195
