participant_code,include_all_contacts,num_left_out,num_diary_contact
87331254,1,9001,3
17937580,1,9001,9
24248656,1,9001,3
88320215,1,9001,5
19402654,997,8,2
92719295,1,9001,23
45685244,1,9001,5
19992114,1,9001,7
78573105,1,9001,4
73444664,1,9001,3
60192001,1,9001,3
16305255,997,3,1
48478716,1,9001,11
57197274,1,9001,5
12180851,1,9001,1
60869355,997,8,5
60786097,997,10,9
82155858,1,9001,6
11249443,1,9001,1
50008060,1,9001,3
14679892,1,9001,5
75429549,997,50,2
12963872,1,9001,6
30348793,1,9001,2
17471372,1,9001,9
43326784,1,9001,2
69696039,997,6,1
62705764,1,9001,2
88700905,997,50,6
46912449,1,9001,4
42495031,1,9001,2
15608543,997,20,7
21091572,1,9001,2
53130951,1,9001,8
18555473,1,9001,2
50440925,1,9001,3
12265942,1,9001,6
12628787,997,3,3
43187386,1,9001,1
27743004,1,9001,7
12935940,997,4,2
32141401,997,20,1
78274084,1,9001,2
50919735,1,9001,11
22301029,999,9001,6
59379543,1,9001,1
34423945,1,9001,1
36952004,1,9001,8
16037020,1,9001,16
51996739,1,9001,1
97690987,1,9001,9
24024370,997,75,11
95587383,997,3,3
66168894,1,9001,2
31689500,1,9001,6
54643422,997,20,7
22985548,999,9001,19
98325760,997,11,8
44927185,997,10,1
61377782,997,10,10
15329748,997,9001,7
52538370,997,60,5
74722095,1,9001,1
59544261,997,15,9
56046687,1,9001,10
87917134,997,35,4
40237141,1,9001,7
95499173,1,9001,5
82846363,1,9001,7
53894905,997,20,11
57552032,1,9001,14
57440023,997,10,15
75031341,997,5,4
15417052,1,9001,1
44687895,997,3,1
39352176,1,9001,16
50084327,1,9001,1
86750143,1,9001,7
48064114,1,9001,2
62591993,1,9001,1
87909822,997,2,2
63362095,1,9001,1
58439159,1,9001,17
11294271,1,9001,1
23221606,1,9001,11
38728677,1,9001,4
26354694,997,10,28
52807309,997,150,6
33053855,997,10,6
99115647,997,30,4
52465278,1,9001,3
11164072,1,9001,21
30014205,1,9001,4
53802698,1,9001,5
91284267,997,30,4
17706280,997,20,14
37770233,1,9001,1
41974155,997,2,7
53689754,997,40,2
43152321,1,9001,2
37066265,997,11,5
71498839,1,9001,4
49392448,1,9001,3
62011974,1,9001,2
32053730,1,9001,2
65614797,999,9001,10
57443819,1,9001,2
71432880,997,10,5
85219503,1,9001,2
59035061,1,9001,7
75821626,1,9001,1
17930358,1,9001,1
79105910,997,5,1
29485037,1,9001,2
49616996,1,9001,1
68370147,1,9001,2
11625385,997,10,3
76317899,1,9001,4
40350146,997,8,5
59108938,1,9001,4
27951738,1,9001,3
43335279,1,9001,3
72419995,1,9001,1
46528593,1,9001,2
16688087,1,9001,2
30521751,997,2,6
76189078,1,9001,16
29157551,999,9001,3
25300496,999,9001,17
95576448,997,5,1
98058870,1,9001,4
86293261,1,9001,2
23601144,997,9,8
79073292,997,30,18
18546643,1,9001,4
88564173,1,9001,13
62630853,997,1,1
91196872,1,9001,6
68926036,1,9001,1
28294664,1,9001,1
55646398,997,3,8
47269857,997,40,3
53193716,1,9001,22
22804641,1,9001,4
75584042,1,9001,5
82888904,1,9001,2
42475363,1,9001,2
28299235,1,9001,3
49036139,1,9001,1
68591939,999,9001,5
51804787,1,9001,15
29894332,1,9001,6
78733428,1,9001,3
72798199,997,60,11
36747282,1,9001,9
57128384,997,5,3
72999795,1,9001,5
99394518,997,25,3
19940509,1,9001,5
71295020,997,10,2
40228225,1,9001,4
96308877,997,30,3
41879117,1,9001,7
79586148,1,9001,7
95819081,1,9001,2
30922684,1,9001,14
55157168,1,9001,21
60749242,1,9001,3
73463764,1,9001,14
11344005,997,15,18
42993061,997,5,1
57387685,1,9001,4
59861568,1,9001,1
10400394,1,9001,1
61143500,1,9001,6
32683957,1,9001,2
99819582,997,15,9
54066249,997,20,8
16993408,1,9001,14
35146558,1,9001,3
60492313,997,5,1
83986437,997,10,24
74341776,997,10,2
64268051,997,20,3
81021136,1,9001,9
47353122,1,9001,11
86809017,1,9001,5
43404638,1,9001,7
70847722,997,20,6
85662841,1,9001,4
54352448,1,9001,5
88602520,1,9001,1
48711852,997,5,5
14184688,1,9001,1
74746631,997,3,3
40591509,1,9001,5
75567561,1,9001,7
98976964,1,9001,13
66097828,997,3,1
55607039,1,9001,11
69752642,1,9001,2
42884894,1,9001,2
38271972,1,9001,6
51675219,1,9001,3
96492298,1,9001,3
78692773,997,20,8
69933227,997,5,3
45067009,997,4,2
10977706,997,5,14
82972110,1,9001,6
37396748,1,9001,7
46908275,997,5,4
34931103,1,9001,7
16682693,1,9001,1
95759794,1,9001,1
79325993,997,5,9
30122128,1,9001,5
27250942,997,2,2
36693538,1,9001,12
75823597,1,9001,6
78474807,997,1,4
17851466,997,4,5
57928253,997,1,1
14017158,999,9001,29
69715294,997,150,9
87452223,1,9001,3
83473702,1,9001,9
46233386,999,9001,10
